,MVT_GT_Louisville KY
2015-05-01 00:00:00,44
2015-08-01 00:00:00,63
2015-09-01 00:00:00,59
2016-01-01 00:00:00,20
2016-03-01 00:00:00,30
2016-07-01 00:00:00,90
2016-08-01 00:00:00,54
2016-10-01 00:00:00,87
2016-11-01 00:00:00,37
2016-12-01 00:00:00,100
2017-01-01 00:00:00,64
2017-03-01 00:00:00,13
2017-04-01 00:00:00,37
2017-05-01 00:00:00,28
2017-06-01 00:00:00,61
2017-07-01 00:00:00,29
2017-08-01 00:00:00,49
2017-09-01 00:00:00,17
2017-10-01 00:00:00,21
2017-11-01 00:00:00,34
2017-12-01 00:00:00,13
2018-01-01 00:00:00,55
2018-04-01 00:00:00,19
2018-05-01 00:00:00,100
2018-06-01 00:00:00,28
2018-09-01 00:00:00,34
2018-12-01 00:00:00,40
2019-01-01 00:00:00,16
2019-02-01 00:00:00,55
2019-06-01 00:00:00,61
2019-07-01 00:00:00,13
2019-08-01 00:00:00,33
2019-09-01 00:00:00,15
2019-10-01 00:00:00,37
2019-12-01 00:00:00,25
2020-02-01 00:00:00,19
2020-03-01 00:00:00,42
2020-04-01 00:00:00,22
2020-05-01 00:00:00,24
2020-06-01 00:00:00,46
2020-07-01 00:00:00,34
2020-08-01 00:00:00,15
2020-09-01 00:00:00,27
2020-10-01 00:00:00,47
2020-11-01 00:00:00,23
2021-01-01 00:00:00,55
2021-02-01 00:00:00,25
2021-03-01 00:00:00,33
2021-04-01 00:00:00,45
2021-06-01 00:00:00,21
2021-07-01 00:00:00,42
2021-09-01 00:00:00,41
2021-10-01 00:00:00,27
2021-11-01 00:00:00,34
2021-12-01 00:00:00,41
2022-01-01 00:00:00,33
2022-02-01 00:00:00,39
2022-03-01 00:00:00,45
2022-04-01 00:00:00,31
2022-05-01 00:00:00,28
2022-06-01 00:00:00,41
2022-07-01 00:00:00,27
2022-08-01 00:00:00,31
2022-09-01 00:00:00,25
2022-11-01 00:00:00,28
2022-12-01 00:00:00,17
