,MVT_GT_Boston MA-Manchester NH
2015-01-01 00:00:00,31
2015-02-01 00:00:00,58
2015-03-01 00:00:00,59
2015-04-01 00:00:00,41
2015-05-01 00:00:00,14
2015-06-01 00:00:00,43
2015-07-01 00:00:00,40
2015-08-01 00:00:00,41
2015-09-01 00:00:00,40
2015-10-01 00:00:00,35
2015-11-01 00:00:00,44
2015-12-01 00:00:00,50
2016-01-01 00:00:00,37
2016-02-01 00:00:00,36
2016-03-01 00:00:00,41
2016-04-01 00:00:00,62
2016-05-01 00:00:00,70
2016-06-01 00:00:00,33
2016-07-01 00:00:00,49
2016-08-01 00:00:00,74
2016-09-01 00:00:00,38
2016-10-01 00:00:00,35
2016-11-01 00:00:00,52
2016-12-01 00:00:00,48
2017-01-01 00:00:00,36
2017-02-01 00:00:00,46
2017-03-01 00:00:00,21
2017-04-01 00:00:00,63
2017-05-01 00:00:00,46
2017-06-01 00:00:00,34
2017-07-01 00:00:00,46
2017-08-01 00:00:00,57
2017-09-01 00:00:00,53
2017-10-01 00:00:00,39
2017-11-01 00:00:00,60
2017-12-01 00:00:00,13
2018-01-01 00:00:00,25
2018-02-01 00:00:00,18
2018-03-01 00:00:00,34
2018-04-01 00:00:00,35
2018-05-01 00:00:00,60
2018-06-01 00:00:00,26
2018-07-01 00:00:00,34
2018-08-01 00:00:00,39
2018-09-01 00:00:00,52
2018-10-01 00:00:00,44
2018-11-01 00:00:00,44
2018-12-01 00:00:00,54
2019-01-01 00:00:00,48
2019-02-01 00:00:00,41
2019-03-01 00:00:00,53
2019-04-01 00:00:00,32
2019-05-01 00:00:00,20
2019-06-01 00:00:00,25
2019-07-01 00:00:00,23
2019-08-01 00:00:00,46
2019-09-01 00:00:00,38
2019-10-01 00:00:00,40
2019-11-01 00:00:00,15
2019-12-01 00:00:00,27
2020-01-01 00:00:00,55
2020-02-01 00:00:00,57
2020-03-01 00:00:00,29
2020-04-01 00:00:00,50
2020-05-01 00:00:00,42
2020-06-01 00:00:00,46
2020-07-01 00:00:00,36
2020-08-01 00:00:00,64
2020-09-01 00:00:00,46
2020-10-01 00:00:00,50
2020-11-01 00:00:00,32
2020-12-01 00:00:00,62
2021-01-01 00:00:00,31
2021-02-01 00:00:00,30
2021-03-01 00:00:00,100
2021-04-01 00:00:00,83
2021-05-01 00:00:00,51
2021-06-01 00:00:00,43
2021-07-01 00:00:00,65
2021-08-01 00:00:00,59
2021-09-01 00:00:00,36
2021-10-01 00:00:00,17
2021-11-01 00:00:00,57
2021-12-01 00:00:00,45
2022-01-01 00:00:00,29
2022-02-01 00:00:00,63
2022-03-01 00:00:00,58
2022-04-01 00:00:00,77
2022-05-01 00:00:00,36
2022-06-01 00:00:00,43
2022-07-01 00:00:00,78
2022-08-01 00:00:00,83
2022-09-01 00:00:00,52
2022-10-01 00:00:00,57
2022-11-01 00:00:00,25
2022-12-01 00:00:00,53
