,MVT_GT_Columbus OH
2015-01-01 00:00:00,30
2015-02-01 00:00:00,46
2015-03-01 00:00:00,56
2015-05-01 00:00:00,63
2015-09-01 00:00:00,27
2015-10-01 00:00:00,40
2015-11-01 00:00:00,17
2016-01-01 00:00:00,20
2016-02-01 00:00:00,22
2016-03-01 00:00:00,17
2016-05-01 00:00:00,26
2016-06-01 00:00:00,23
2016-07-01 00:00:00,20
2016-08-01 00:00:00,30
2016-09-01 00:00:00,21
2016-10-01 00:00:00,26
2016-11-01 00:00:00,34
2016-12-01 00:00:00,25
2017-02-01 00:00:00,28
2017-03-01 00:00:00,28
2017-04-01 00:00:00,19
2017-05-01 00:00:00,35
2017-06-01 00:00:00,23
2017-07-01 00:00:00,21
2017-08-01 00:00:00,32
2017-09-01 00:00:00,26
2017-10-01 00:00:00,29
2017-11-01 00:00:00,37
2018-01-01 00:00:00,40
2018-02-01 00:00:00,12
2018-05-01 00:00:00,37
2018-06-01 00:00:00,20
2018-07-01 00:00:00,49
2018-08-01 00:00:00,55
2018-09-01 00:00:00,18
2018-11-01 00:00:00,68
2018-12-01 00:00:00,58
2019-01-01 00:00:00,37
2019-02-01 00:00:00,40
2019-03-01 00:00:00,33
2019-04-01 00:00:00,41
2019-05-01 00:00:00,64
2019-06-01 00:00:00,37
2019-08-01 00:00:00,64
2019-09-01 00:00:00,66
2019-10-01 00:00:00,27
2019-11-01 00:00:00,18
2019-12-01 00:00:00,29
2020-01-01 00:00:00,49
2020-02-01 00:00:00,36
2020-03-01 00:00:00,19
2020-04-01 00:00:00,38
2020-08-01 00:00:00,24
2020-09-01 00:00:00,21
2020-10-01 00:00:00,27
2020-11-01 00:00:00,67
2020-12-01 00:00:00,31
2021-01-01 00:00:00,58
2021-02-01 00:00:00,36
2021-03-01 00:00:00,60
2021-06-01 00:00:00,34
2021-07-01 00:00:00,87
2021-08-01 00:00:00,25
2021-09-01 00:00:00,38
2021-10-01 00:00:00,23
2021-11-01 00:00:00,49
2021-12-01 00:00:00,42
2022-01-01 00:00:00,98
2022-02-01 00:00:00,57
2022-03-01 00:00:00,73
2022-04-01 00:00:00,53
2022-05-01 00:00:00,61
2022-06-01 00:00:00,91
2022-07-01 00:00:00,95
2022-08-01 00:00:00,37
2022-09-01 00:00:00,62
2022-10-01 00:00:00,78
2022-11-01 00:00:00,73
2022-12-01 00:00:00,100
