,MVT_GT_Detroit MI
2015-01-01 00:00:00,50
2015-10-01 00:00:00,78
2016-04-01 00:00:00,36
2016-05-01 00:00:00,47
2016-07-01 00:00:00,47
2017-02-01 00:00:00,76
2017-08-01 00:00:00,79
2018-01-01 00:00:00,60
2018-03-01 00:00:00,43
2018-10-01 00:00:00,47
2018-12-01 00:00:00,39
2019-08-01 00:00:00,91
2019-09-01 00:00:00,32
2019-11-01 00:00:00,68
2020-01-01 00:00:00,61
2020-02-01 00:00:00,76
2020-03-01 00:00:00,42
2020-07-01 00:00:00,60
2020-09-01 00:00:00,47
2020-10-01 00:00:00,52
2020-11-01 00:00:00,55
2021-01-01 00:00:00,43
2021-04-01 00:00:00,69
2021-05-01 00:00:00,77
2021-08-01 00:00:00,76
2021-09-01 00:00:00,78
2021-11-01 00:00:00,55
2021-12-01 00:00:00,61
2022-01-01 00:00:00,43
2022-03-01 00:00:00,90
2022-04-01 00:00:00,89
2022-05-01 00:00:00,66
2022-08-01 00:00:00,100
2022-12-01 00:00:00,86
